分析文本 :     Jobs

NLTK 情緒模型 : 正面 , LSTM 情緒模型 : 正面    I am honored to be with you today at your commencement from one of the finest universities in the world.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    I never graduated from college.
NLTK 情緒模型 : 正面 , LSTM 情緒模型 : 中立    Truth be told, this is the closest I've ever gotten to a college graduation.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    Today I want to tell you three stories from my life.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    That's it.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    No big deal.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    Just three stories.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    The first story is about connecting the dots.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 負面    I dropped out of Reed College after the first 6 months, but then stayed around as a drop-in for another 18 months or so before I really quit.
NLTK 情緒模型 : 負面 , LSTM 情緒模型 : 中立    So why did I drop out?
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    It started before I was born.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    My biological mother was a young, unwed college graduate student, and she decided to put me up for adoption.
NLTK 情緒模型 : 正面 , LSTM 情緒模型 : 負面    She felt very strongly that I should be adopted by college graduates, so everything was all set for me to be adopted at birth by a lawyer and his wife.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    Except that when I popped out they decided at the last minute that they really wanted a girl.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    So my parents, who were on a waiting list, got a call in the middle of the night asking: "We have an unexpected baby boy; do you want him?"
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    They said: "Of course."
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 負面    My biological mother later found out that my mother had never graduated from college and that my father had never graduated from high school.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    She refused to sign the final adoption papers.
NLTK 情緒模型 : 正面 , LSTM 情緒模型 : 中立    She only relented a few months later when my parents promised that I would someday go to college.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    And 17 years later I did go to college.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 負面    But I naively chose a college that was almost as expensive as Stanford, and all of my working-class parents' savings were being spent on my college tuition.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 負面    After six months, I couldn't see the value in it.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 負面    I had no idea what I wanted to do with my life and no idea how college was going to help me figure it out.
NLTK 情緒模型 : 正面 , LSTM 情緒模型 : 負面    And here I was spending all of the money my parents had saved their entire life.
NLTK 情緒模型 : 正面 , LSTM 情緒模型 : 中立    So I decided to drop out and trust that it would all work out OK.
NLTK 情緒模型 : 正面 , LSTM 情緒模型 : 正面    It was pretty scary at the time, but looking back it was one of the best decisions I ever made.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 正面    The minute I dropped out I could stop taking the required classes that didn't interest me, and begin dropping in on the ones that looked interesting.
NLTK 情緒模型 : 負面 , LSTM 情緒模型 : 負面    It wasn't all romantic.
NLTK 情緒模型 : 正面 , LSTM 情緒模型 : 負面    I didn't have a dorm room, so I slept on the floor in friends' rooms, I returned Coke bottles for the 5¢ deposits to buy food with, and I would walk the 7 miles across town every Sunday night to get one good meal a week at the Hare Krishna temple.
NLTK 情緒模型 : 正面 , LSTM 情緒模型 : 正面    I loved it.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 負面    And much of what I stumbled into by following my curiosity and intuition turned out to be priceless later on.
NLTK 情緒模型 : 正面 , LSTM 情緒模型 : 正面    Let me give you one example:

Reed College at that time offered perhaps the best calligraphy instruction in the country.
NLTK 情緒模型 : 正面 , LSTM 情緒模型 : 正面    Throughout the campus every poster, every label on every drawer, was beautifully hand calligraphed.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 正面    Because I had dropped out and didn't have to take the normal classes, I decided to take a calligraphy class to learn how to do this.
NLTK 情緒模型 : 正面 , LSTM 情緒模型 : 正面    I learned about serif and sans serif typefaces, about varying the amount of space between different letter combinations, about what makes great typography great.
NLTK 情緒模型 : 正面 , LSTM 情緒模型 : 正面    It was beautiful, historical, artistically subtle in a way that science can't capture, and I found it fascinating.
NLTK 情緒模型 : 正面 , LSTM 情緒模型 : 負面    None of this had even a hope of any practical application in my life.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    But 10 years later, when we were designing the first Macintosh computer, it all came back to me.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    And we designed it all into the Mac.
NLTK 情緒模型 : 正面 , LSTM 情緒模型 : 正面    It was the first computer with beautiful typography.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 負面    If I had never dropped in on that single course in college, the Mac would have never had multiple typefaces or proportionally spaced fonts.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 負面    And since Windows just copied the Mac, it's likely that no personal computer would have them.
NLTK 情緒模型 : 負面 , LSTM 情緒模型 : 正面    If I had never dropped out, I would have never dropped in on this calligraphy class, and personal computers might not have the wonderful typography that they do.
NLTK 情緒模型 : 中立 , LSTM 情緒模型 : 中立    Of course it was impossible to connect the dots looking forward when I was in college.
